"HC001B"	"HC003B"	"HC004B"	"HC005B"	"HC009B"	"HC010B"	"HC011B"	"HC013B"	"HC014B"	"HC020B"	"HC021B"	"HC022B"	"HC023B"	"HC024B"	"HC026B"	"HC027B"	"HC028B"	"HC031B"	"HC032B"	"HC034B"	"HC036B"	"HC037B"	"HC038B"	"HC039B"	"LC001R"	"LC002L"	"LC006R"	"LC008L"	"LC009R"	"LC014L"	"LC020L"	"LC022R"	"LC025R"	"LC029R"	"LC033R"	"LC036R"	"LC038L"	"LC039R"	"LC042L"	"LC044R"	"LC045R"	"LC048R"	"LC051L"	"LC058R"	"LC059R"	"LC063R"	"LC064R"	"LC065R"	"LC067R"	"LC068L"	"LC069R"	"LC075R"	"LC080L"	"LC081R"	"LC082R"	"LC084R"	"LC085R"	"LC086R"	"LC087R"	"LC088R"	"LC092R"	"LC094L"	"LC095R"	"LC096R"	"LC098L"	"LC099L"	"LC102R"	"LC108R"	"LC109R"	"LC119R"	"LC120R"
"g_Peptostreptococcus"	2.823529412	5.064829822	2.318718381	2.009588901	1.042553191	1.067332803	0.930424894	2.248813699	0.915378356	3.285463374	0.900805426	2.270663034	2.544247788	1.30283135	1.854291215	1.729431027	4.556451613	0.869565217	1.46907746	1.675692245	2.210287131	1.030595813	1.322690992	1.218897955	1.460463175	0.515520456	2.796768179	1.425895087	0.235462735	0.648758236	2.060704497	1.033282576	0.867083745	0.588175641	2.245232725	0.427872861	0.235486843	2.640163099	0.305071819	4.099190283	1.312600969	8.913147793	3.248163856	2.372630018	2.119499394	0.851204952	4.329876145	1.051886315	3.71304611	2.559193955	0.230830992	2.761924174	0.654396728	2.485601697	0.34214619	2.360536669	0.803212851	2.005672609	1.243065543	1.507074021	1.58393866	1.640012224	2.463899828	1.846937692	1.556500986	0.898626817	1.088819437	1.824376305	0.655043838	1.491013072	4.153877635
"g_Granulicatella"	1.080213904	3.200972447	0.484822934	0.489646027	1.14893617	2.429885318	1.705778972	1.609242831	5.543124491	1.663394979	1.822806274	1.887173277	4.324215607	2.954452195	0.881548283	0.634465821	0.793010753	1.673913043	1.18142593	1.859609686	0.733319562	1.427804616	0.661345496	0.866324166	0.698935948	0.987166831	0.47648643	1.155287261	0.747338247	4.541307653	1.471931784	0.543832935	3.611019647	1.186492242	1.045724831	0.417685412	0.716699089	1.416921509	0.775390873	0.495951417	1.080371567	0.671785029	2.358539361	0.847367864	1.23132822	2.034048198	6.142382439	1.021543441	0.928261528	0.967254408	3.191489362	2.568283734	2.586912065	1.939981813	0.912389839	3.651770403	1.987436927	1.782820097	3.215533183	2.491285626	0.918079096	3.921768361	1.77723922	0.127375013	1.234824115	2.362681745	0.746042948	2.274975272	2.86203769	1.358251634	2.230407203
"g_Neisseria"	8.449197861	16.88614263	3.056492411	6.52861369	5.138297872	1.816736687	9.324925049	4.239735919	15.31733116	5.114164686	8.276812209	3.552326168	3.01689461	7.837505129	3.576856824	19.0237413	9.516129032	2.22826087	9.04047668	6.978645142	12.36314811	3.650026838	9.270239453	3.51566435	16.23200501	6.712734452	5.914646779	5.755620316	0.829238329	6.690319311	17.89666024	9.484446378	18.59290967	29.54061454	5.238876358	2.404237979	27.33695096	2.772680938	0.266937842	0.890688259	17.02342488	9.189059501	7.375607738	15.41150302	12.96931772	9.927039576	6.424327862	10.52897745	17.13247906	4.090680101	35.43757527	10.99673869	2.699386503	7.5982621	6.065318818	9.956622617	8.011533313	7.809967585	23.60797206	8.273528809	7.284100081	1.466843231	10.19892962	2.451969005	8.187195185	16.69022617	0.494001411	13.38608638	18.62340018	7.444852941	5.637405361
"g_[Eubacterium] nodatum group"	0.032085561	1.681523501	0.990725126	0.887483423	1.021276596	1.169524242	0.351493849	0.763358779	0.355980472	0.392602542	0.413310725	0.625693814	0.442477876	0.913007796	0.749822677	0.296766271	3.037634409	0.391304348	0.215738648	0.378052519	0.485436893	0.128824477	1.174458381	0.47345623	0.271228875	0.263244488	1.315516884	0.24979184	0.122850123	0.050684237	0.466957669	0.478572982	1.130501591	0.111550553	0.46134919	0.448247759	0.419780895	0.519877676	0.279649167	0.36437247	0.282714055	2.531190019	0.362056481	2.510327296	0.302785628	0.243201415	0.382640218	0.667543239	1.41257189	0.463476071	0.160578081	1.182225846	0.511247444	0.495099525	0.549507517	0.877635428	0.442796828	0.587520259	0.575303061	1.11749026	0.322841001	1.436283997	1.090578613	0	0.508456989	0.787560582	0.060489969	0.472579404	0.151163963	0.725081699	0.931041539
"g_Catonella"	0.598930481	0.141815235	0.284569983	0.244823013	0.170212766	0.204382877	0.217099142	0.309469775	0.132221318	2.190308916	0.741839763	0.565142799	0.181013677	0.22568732	0.516769683	0.480966025	1.27688172	0.043478261	0.256831724	0.153264535	0.413137781	0.38647343	0.068415051	0	0.093886918	0.142590765	0.093225606	0.176935887	0.081900082	0.608210846	0.233478835	0.402436372	0	0.15211439	0.358827148	0.173186634	0.122862701	0.550458716	0.597432312	0.293522267	0.161550889	0.071976967	0.206889418	0.180065671	0.060557126	0.221092195	0.080555835	0.20228583	0.393502169	0.120906801	0.090325171	0.091724419	0.143149284	0.101040719	0.34214619	0.746494502	0.164761611	0.354538088	0.184918841	0.379331556	0.171509282	0.468574921	0.242350803	0.891625093	0.300923524	0.030290792	1.209799375	0.560501154	0.28217273	0.102124183	0.470636382
"g_Campylobacter"	1.529411765	0.5773906	2.044688027	2.591043558	2.680851064	1.135460429	1.623074537	3.35258923	0.803498779	1.746048145	0	3.683520032	0.683829445	1.713171933	3.131016314	2.118297176	0.672043011	0.760869565	8.382987467	1.645039338	2.179301797	1.663982823	0.353477765	1.974413216	1.689964532	1.59043545	0.683654444	2.112822648	2.426289926	2.027369488	0.944066592	3.621927344	2.063439798	0.709867153	1.855648965	3.025672372	1.525545203	1.019367992	0.87708148	0.880566802	0.656300485	0.203934741	1.282714389	0.466052325	0.807428341	1.017024099	0.191320109	0.799029028	2.875592776	1.249370277	0.632276194	1.070118223	0.766871166	0.656764676	1.607050285	2.310097851	4.294099475	2.471636953	1.058146702	3.311461964	1.886602098	2.241010492	0.929011411	0	1.85742451	1.019789984	2.00625063	1.549620837	0.96744936	1.102941176	2.076938817
"g_Gemella"	3.529411765	1.367504052	0.600758853	1.356727532	1.074468085	1.635063018	1.457665667	2.713018362	5.03458096	3.099493749	2.617634591	2.411948733	3.419147224	2.144029545	3.566724086	1.514531314	1.048387097	3.315217391	3.677830286	4.230101155	2.323900021	2.898550725	1.151653364	5.056915483	0.688504068	2.54469672	0.47648643	2.955870108	0.522113022	5.139381652	1.350116739	1.57711551	2.326857645	1.713822128	1.507074021	0.631621842	1.331012593	1.845056065	0.737256896	0.516194332	1.918416801	2.075335893	1.986138409	5.40197013	3.027856278	1.591863807	3.121538616	0.667543239	0.625567551	1.360201511	4.787234043	3.281695883	6.083844581	3.172678589	2.032141006	3.409664077	1.132736072	3.393435981	1.335524964	1.712118105	3.672316384	0.264846695	3.332323538	2.982698227	2.293244786	2.675686591	0.937594516	1.197933839	3.527159125	2.920751634	1.012891344
"g_Prevotella 2"	0.320855615	0.698946515	0.063237774	0.744669999	0.414893617	0.124900647	0.351493849	0.938724985	0.254271766	0.154974687	0.201356507	0.544959128	0.120675784	0.215428806	0.324247644	0.255832992	0.02688172	0.010869565	0.472570372	0.214570348	0.289196447	0.182501342	0	0.181323663	0.959732944	0.95426127	0.279676818	0.385095754	0.02047502	0.152052712	0.659831489	0.522079617	0.087805949	0.415779333	0.328070535	0.356560717	0	0.163098879	0.050845303	0.010121457	0.282714055	0.071976967	0.568945898	0.773223176	0.322971336	0.265310635	0.130903232	0.111257206	0.776914539	0.37279597	0.180650341	0.112107623	0.030674847	0.151561079	0.051840332	0.121053163	0.092678406	0.091166937	0.400657489	0.225548493	0.534705408	0	0.555387256	0.360895871	0.35280689	0.161550889	1.149309406	0.142872843	0.231784743	0.214460784	1.125434827
"g_Rothia"	0	0.921799028	2.972175379	0.520248903	0.446808511	3.644827978	1.457665667	1.733030741	2.939381611	0.175637979	1.218736753	0.928448885	1.920756235	3.477636438	0.283716689	1.350798199	0.430107527	0.684782609	0.226011917	1.297639726	0.330510225	1.009125067	0.410490308	0.88647124	0.824118506	4.398376659	0.642220841	0.53080766	3.490990991	5.848960973	4.730484215	0.870132695	4.642739546	1.277760876	1.291777732	0.753871231	6.235282072	4.740061162	0.279649167	0.212550607	1.857835218	0.719769674	5.586014275	1.991314479	1.372628179	5.074065885	4.269459269	2.457772833	1.66481687	1.370277078	8.88197511	0.458622095	9.18200409	5.072244114	5.163297045	1.311409261	5.828441973	2.785656402	2.568317239	2.388763584	0.877723971	0.876031374	2.039785923	0	0.674483761	2.342487884	3.770541385	3.450928673	2.146528268	1.225490196	2.394106814
"g_Haemophilus"	5.368983957	8.275931929	2.908937605	3.662144242	4.617021277	1.510162371	6.130466246	2.898700227	9.845402766	1.952681062	5.669775329	9.254213341	2.292839903	4.431678293	16.56702807	6.303724928	2.002688172	8.923913043	6.708444627	2.350056197	5.288163603	2.716049383	2.896237172	7.142137605	4.089296891	3.652517275	2.703542573	1.863030808	2.252252252	5.970603142	9.166582073	1.925168588	4.467127648	6.226549032	7.453352471	0.682559087	4.423057234	25.24974516	0.800813525	3.603238866	5.704765751	2.015355086	3.320575153	5.349009639	4.491320145	13.61927924	7.380928406	9.436633964	7.335284028	8.866498741	5.85106383	2.843456991	2.147239264	8.95220774	2.602384655	2.834661556	1.050355267	3.525121556	11.86562564	3.249948739	7.657384988	0.183355404	8.926587903	6.857021548	3.62145896	5.603796446	21.23197903	4.945598417	8.031845208	3.60498366	5.248618785
"g_Pseudomonas"	0.256684492	0.091166937	0.31618887	0.010200959	0.010638298	0.022709209	0.051690272	0.041262637	0	0	0.042390844	0.020183671	0	0	0	0	0.295698925	0.108695652	0	0	0.051642223	0.676328502	0	0	0.114750678	0.230338927	0.94261446	0.09367194	0.092137592	0.263558033	0.030453761	0.08701327	0.537811437	0.253523983	0.061513225	0	0.030715675	0	0.139824584	0	0	0.143953935	0.268956243	0.264802457	0.151392814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010088781	0	0.0403918	1.114531366	0.083013386	0.060581583	0	0	0.060465585	0	0.010231226
"g_Acinetobacter"	0.320855615	0.01012966	0	0.102009589	0.085106383	0.068127626	0.155070816	0.175366206	0.203417413	0	0.47689699	0.030275507	0.050281577	0	0.020265478	0	1.612903226	0.076086957	0.041093076	0.020435271	0.051642223	0.483091787	0.353477765	0	0.177341957	0.197433366	0.538636834	0.072855953	0.163800164	1.692853523	0.131966298	0.076136611	0.439029744	0.111550553	0.030756613	0	0	0	0.521164357	0.010121457	0	0.275911708	0	0.254210359	0.020185709	0	0	0	0	0	0	0	0	0	0	0	0	0.232982172	0.051366345	0.051261021	0.070621469	0.346337985	0.131273352	0.732406326	0.134896752	0.060581583	0.030244984	0.08792175	0.12093117	0.030637255	0.030693677
"g_Brevundimonas"	0.331550802	0.030388979	0.548060708	0	0	0	0	0	0.020341741	0	0.180161085	0	0	0	0	0	0.215053763	0	0	0	0	0.128824477	0	0	0	0	0	0	0	0.010136847	0.010151254	0	0.504884206	0	0	0	0	0	0.025422652	0	0	0	0.196544947	0.285986654	0.020185709	0	0	0	0	0	0	0.010191602	0	0	0	0	0	0.020259319	0	0	0	0	0	0	0	0	0	0	0	0	0
"g_Pedobacter"	0.021390374	0	0	0	0	0	0	0.020631318	0	0	0.021195422	0	0	0	0	0	0.228494624	0.043478261	0	0	0	0.064412238	0	0	0.02086376	0	0.041433603	0.020815987	0	0	0	0	0.197563385	0	0.010252204	0	0	0	0.012711326	0	0	0.09596929	0.382745423	0.021184197	0.020185709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g_Family XIII UCG-001"	0	0.01012966	0	0	0.042553191	0.056773021	0.020676109	0.030946978	0	0.103316458	0	0.060551014	0.020112631	0.010258515	0.020265478	0.01023332	0.02688172	0	0	0.020435271	0.051642223	0.150295223	0	0.070514758	0.041727519	0	0	0.083263947	0.02047502	0	0	0.021753317	0	0	0.061513225	0.010187449	0	0.04077472	0	0	0	0	0	0.06355259	0.020185709	0	0	0	0.110987791	0.010075567	0	0.061149613	0	0	0	0.090789872	0.010297601	0.070907618	0.041093076	0.420340373	0	0	0.050489751	0	0.072636713	0.060581583	0	0.043960875	0.030232793	0	0.030693677
"g_Bradyrhizobium"	0.032085561	0.01012966	0.200252951	0	0	0.022709209	0	0	0	0	0.063586265	0	0	0	0	0	0.443548387	0	0	0	0	0.193236715	0	0	0	0	0	0	0	0	0	0	0	0	0.030756613	0.010187449	0.010238558	0.01019368	0.546587009	0.020242915	0	0	0.217233888	0.021184197	0.020185709	0.066327659	0	0	0	0	0	0	0.020449898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g_Fretibacterium"	0	0.030388979	0.31618887	0.010200959	0.117021277	0.261155899	0.082704435	0	0	0.113648104	0	0	0	0.041034058	0	0	0	0	0.041093076	0.061305814	0.051642223	0.075147611	0.136830103	0	0.093886918	0	0.062150404	0.135303913	0	0.010136847	0	0.293669785	0	0.040563837	0.092269838	0.101874491	0	0.081549439	0	0.060728745	0.050484653	0.023992322	0.020688942	0	0.040371417	0.044218439	0	0	0	0.020151134	0	0.010191602	0	0.020208144	0.217729393	0.060526581	0	0.101296596	0	0.030756613	0.020177563	0	0	0	0.03113002	0.010096931	0.020163323	0	0.08062078	0.204248366	0
"g_Stomatobaculum"	0.010695187	0.060777958	0.221332209	0.030602877	0.180851064	0.147609856	0.144732761	0.453889004	0.020341741	0.113648104	0	0.817438692	0.512872084	0.133360689	0.111460128	0.092099877	0.040322581	0.108695652	0.030819807	0.132829263	0.11361289	0.150295223	0.23945268	0.171250126	0	0.175496326	1.004764864	0.052039967	0.174037674	0	0.091361283	0.25016315	0	0.040563837	0.061513225	0.967807661	0.757653322	0.560652396	0.063556629	0.08097166	0.272617124	0.323896353	0.144822592	0.021184197	0.363342753	0.055273049	0.060416876	0.111257206	0.221975583	0.251889169	0.02007226	0.061149613	0.132924335	0.464787309	0.186625194	0.17149198	0.741427247	0.638168558	0	0.07176543	0.211864407	0.519506978	0.82803191	0	0.529210335	0.171647819	0.090734953	0.131882624	0.110853573	0.071486928	0.204624514
"g_Peptococcus"	0.096256684	0	0.126475548	0.489646027	0.021276596	0.181673669	0.020676109	0.020631318	0	0	0	0	0.060337892	0.010258515	0.020265478	0.020466639	0.147849462	0	0.010273269	0.020435271	0.061970667	0	0	0.020147074	0.156478197	0	0.538636834	0.052039967	0.051187551	0.131779017	0.131966298	0.054383293	0	0.040563837	0.07176543	0.020374898	0	0.06116208	0	0.020242915	0.030290792	0.083973129	0	0.031776295	0.020185709	0.01105461	0.020138959	0.111257206	0.060538795	0.040302267	0.01003613	0.061149613	0	0	0.445826853	0.191667507	0.092678406	0.101296596	0.154099034	0.020504408	0.020177563	0	0.131273352	0.010614584	0.020753346	0.010096931	0.040326646	0	0.050387988	0.081699346	0.020462451
"g_Bulleidia"	0	0	0.274030354	0.051004794	0.095744681	0.034063813	0	0	0	0.061989875	0	0	0.020112631	0.041034058	0.030398217	0	0.02688172	0	0.051366345	0.081741085	0.103284445	0.010735373	0	0.03022061	0	0	0	0	0.061425061	0	0	0	0	0	0.051261021	0	0	0.03058104	0	0.070850202	0	0	0.165511534	0	0	0	0	0	0.010089799	0.080604534	0	0	0.051124744	0	0.165889062	0	0	0	0	0.030756613	0.020177563	0	0	0	0	0	0	0.175843499	0.010077598	0	0.102312257
"g_Clostridiales bacterium canine oral taxon 162"	0.064171123	0.030388979	0	0.244823013	0.234042553	0.454184172	0	0.020631318	0	0.2479595	0.11657482	0.040367343	0.050281577	0.041034058	0.020265478	0.040933279	0	0.076086957	0.308198069	0.132829263	0.382152448	0.118089104	0.262257697	0.090661831	0.052159399	0	0	0.135303913	0.102375102	0.010136847	0.020302507	0.326299761	0	0.020281919	0.184539676	0.040749796	0	0.03058104	0	0.172064777	0.030290792	0.023992322	0	0.010592098	0.07064998	0	0	0.020228583	0.090808193	0	0	0.081532817	0	0.040416288	0.912389839	0.020175527	0.010297601	0.243111831	0	0.123026451	0.010088781	0	0.01009795	0	0.072636713	0.060581583	0	0.758325091	0.020155195	0.153186275	0.030693677
"g_F0058"	0	0.101296596	0.31618887	0.030602877	0.14893617	0.136255252	0.175746924	0.257891479	0.122050448	0.216964562	0	0	0.030168946	0.092326631	0.010132739	0	0	0.043478261	0.041093076	0.112393992	0.020656889	0.053676865	0.171037628	0	0.031295639	0.153559285	0	0.020815987	0.02047502	0	0.101512537	0.076136611	0	0.030422878	0.07176543	0.030562347	0	0	0.177958561	0.091093117	0.010096931	0.071976967	0.155167063	0	0.020185709	0.077382268	0	0	0	0.0302267	0.02007226	0.214023645	0.030674847	0.010104072	0.196993261	0.050438818	0.051488003	0.081037277	0	0.061513225	0.151331719	0	0.01009795	0	0.072636713	0.090872375	0.131061599	0.142872843	0.070543183	0.040849673	0.061387354
"g_Prevotella 9"	0.032085561	0.020259319	0	0	0.117021277	0.817531509	0.186084979	0.206313183	0.020341741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054878718	0	0	0	0	0	0.076267955	0	0.010096931	0.923704415	0	0	0	0.563785098	0.030208438	0	0	0.080604534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
