"HC006B"	"HC007B"	"HC008B"	"HC012B"	"HC025B"	"HC029B"	"HC030B"	"HC035B"	"LC011R"	"LC012R"	"LC016R"	"LC018R"	"LC030R"	"LC031R"	"LC035L"	"LC043L"	"LC052R"	"LC053L"	"LC054R"	"LC089L"	"LC090L"	"LC091R"	"LC097R"	"LC101L"	"LC110R"	"LC116R"	"LC121R"	"LC123R"
"g_Pseudomonas"	0	0.097418412	0.103584007	0	0.987925357	2.947180403	1.874310915	0.030469226	0.137406194	0.157712123	14.19108792	1.111224386	8.386333383	16.01253748	0.265134777	1.13197839	0.072090628	6.826078071	0.137799449	0.014592149	0	0.113168724	0	0.020145044	0.020155195	2.014479068	0.070084101	0.807149034
"g_Acinetobacter"	0.987410516	1.071602533	0.46612803	0.328947368	0.631174533	6.863995917	1.750275634	0.101564087	4.59782264	1.7979182	4.175030108	0.254867978	1.508652566	6.732079586	0.154661953	0	0.030895984	5.906396894	0	0.277250839	0	0.977366255	8.170124	0.060435133	0	2.4866226	0.010012014	1.801671952
"g_Brevundimonas"	1.505801037	0.511446663	0	0.042906178	0.150933041	0.637917836	0.606394708	0	0	0	2.9706945	0.010194719	1.0353498	0.55873535	0.254087494	0	0.020597322	10.89311261	0.890396438	0	0.739371534	0	0	0	0	0.220333648	0	0.331507639
"g_Pedobacter"	1.184892619	0	0	0	0.205817783	0.752743047	0.482359427	0	0	1.10398486	1.083902047	0.030584157	0.014790711	0	0.022094565	0	0.278063852	0.081749438	0.657197371	0	0	0	0.057944142	0	0	0.723953415	0	0.403574517
"g_Family XIII UCG-001"	0	0	0	0	0	0	0	0.071094861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g_Bradyrhizobium"	0.641816835	0.901120312	0	0.157322654	0.233260154	0.395509058	0.33076075	0	0	0	0.02007226	0	0.236651383	0	0.817498895	0.720349884	0	5.804210096	0.031799873	0	0.22591908	0	0.06953297	0	0	1.322001889	0	0.259440761
"g_Fretibacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151087832	0	0	0	0.086480254
"g_Stomatobaculum"	0	0	0	0	0	0.07655014	0	0	0	0	0	0	0	0	0	0	0.35015448	0	0.021199915	0	0	0	0	0.010072522	0.08062078	0	0.010012014	0.115307005
"g_Peptococcus"	0.024685263	0	0	0	0	0	0	0	0	0	0	0.020389438	0.295814229	0	0.022094565	0	0	0	0	0	0.020538098	0	0	0.825946817	0.12093117	0	0	0.043240127
"g_Bulleidia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272095133	0	0	0
"g_Clostridiales bacterium canine oral taxon 162"	0	0	0	0.028604119	0	0.063791784	0	0.030469226	0	0	0.02007226	0	0	0.013627691	0	0	0	0	0	0	0	0.010288066	0	0	0.866673385	0	0	0.043240127
"g_F0058"	0	0	0	0	0	0.051033427	0	0.111720496	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072016461	0	0.030217566	0	0	0	0
"g_Prevotella 9"	8.738583066	9.83925962	0.124300808	0.886727689	0	0	0	0	0	0	0.301083902	0	0.014790711	0.054510766	0.022094565	0.154360689	0	0.040874719	0.010599958	3.852327448	8.009858287	0	0	0	0	0	0	0
"g_Mogibacterium"	0	0	0	0	0	0	0	0.162502539	0	0	0	0	0	0	0	0	0.834191555	0.020437359	0.021199915	0	0	0.226337449	0	0.010072522	0.151163963	0	0	0.043240127
"g_Johnsonella"	0	0	0	0.057208238	0	0	0.289415656	0.030469226	0	0	0	0.010194719	0	0	0	0	0	0	0	0	0	0.174897119	0	1.269137792	0.272095133	0	0	0.057653502
"g_[Eubacterium] yurii group"	0	0	0	0.014302059	0	0	0.027563396	0	0	0	0	0	0	0	0	0	0.576725026	0	0.031799873	0	0	0	0	0	0	0	0	0
"g_Defluviitaleaceae UCG-011"	0	0	0.031075202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050387988	0	0	0
"g_Phocaeicola"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.771604938	0	0	0.060465585	0	0	0
"g_Sphingomonas"	0	0	0	0	0.233260154	0.982393468	1.212789416	0	1.130958672	0	0.260939382	0	0.044372134	0	0.475033142	0.308721379	0	0	0	0	0	0	0	0	0	2.171860246	0	0.446814644
"g_Bacillus"	0	0	0	0	0	0.395509058	0.137816979	0	0.105697072	0.851645463	5.299076676	0.040778877	1.996746043	2.575633688	0.729120636	3.08721379	0	5.538524423	0.04239983	0.102145046	0	0.267489712	0	0	0	4.406672962	0	0
